"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"23","@TechNative: How are #AI and #BigData impacting #healthcare? @NoomanHaque from @SVB_UK explains https://t.co/UL8QOg30bK",FALSE,0,"TechNative",2017-11-13 16:38:24,FALSE,NA,"930112621516292096","3937914677","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","meisshaily",4,FALSE,FALSE,NA,NA
"28","What’s the difference between #BigData &amp; smart data for healthcare providers? via @HITAnalytics #HealthIT
https://t.co/4AvXvohmSU",FALSE,0,NA,2017-11-13 16:07:37,FALSE,NA,"930104877245784066",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","ODHInc",0,FALSE,FALSE,NA,NA
"31","This is how #BigData analytics underpins every healthcare trend: https://t.co/v6mubG4dlW #AI #analytics #machinelearning",FALSE,2,NA,2017-11-13 15:40:12,FALSE,NA,"930097976151863296",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","olfactex",3,FALSE,FALSE,NA,NA
"33","The Real Limitations of #BigData - by @CliftonLeaf | #health #data https://t.co/Hzv37B7s1N",FALSE,1,NA,2017-11-13 15:30:46,FALSE,NA,"930095601877954561",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","arjenvanberkum",1,FALSE,FALSE,NA,NA
"34","FHIR Finally Brings the Internet to Bear on Healthcare’s Big Data https://t.co/BePk1cdOfF",FALSE,0,NA,2017-11-13 15:28:14,FALSE,NA,"930094964360478721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PrecisionDH",0,FALSE,FALSE,NA,NA
"35","Exploring the Use of Blockchain for EHRs, Healthcare Big Data https://t.co/iH0rQgTQOk",FALSE,0,NA,2017-11-13 15:05:05,FALSE,NA,"930089137461489664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","schmidtjack",0,FALSE,FALSE,NA,NA
"37","How are #AI and Big Data impacting healthcare? SVB's @NoomanHaque talks to @TechNative  in this week's podcast. Lis… https://t.co/DcG3i8aCWh",FALSE,0,NA,2017-11-13 14:51:00,TRUE,NA,"930085595086548992",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","SVB_UK",0,FALSE,FALSE,NA,NA
"40","80% of doctors offices now using data-rich #EHR , is #machinelearning next big thing in #healthcare? https://t.co/26HlEz3fWd MT @avik_sarkar",FALSE,1,NA,2017-11-13 14:48:27,FALSE,NA,"930084951374159872",NA,"<a href=""http://datasciencepakistan.com"" rel=""nofollow"">Data Pakistan</a>","ImDataScientist",1,FALSE,FALSE,NA,NA
"43","Big Data can transform health care but only if we understand how to apply it in an evidence-based way. https://t.co/1G7i6sTkb5",FALSE,5,NA,2017-11-13 14:46:25,FALSE,NA,"930084439954255872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dan_spors",4,FALSE,FALSE,NA,NA
"44","Which Healthcare Big Data, Business Intelligence Vendors are Most Popular? https://t.co/dwzYyRvq9K",FALSE,1,NA,2017-11-13 14:43:01,FALSE,NA,"930083585029214208",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","nadia_francais",0,FALSE,FALSE,NA,NA
"46","#blockchain Exploring the Use of Blockchain for EHRs, Healthcare Big Data
Blockchain has the potential to revolutio… https://t.co/BuAi2cIoVC",FALSE,1,NA,2017-11-13 14:24:20,TRUE,NA,"930078883382284290",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Star_Medllc",1,FALSE,FALSE,NA,NA
"48","Pharma turns 2 big data 2 gauge care and pricing. #Pharmaceuticals,#Healthcare,#BigData,#Medicare,#MedicalResearch. https://t.co/Q53fIMdFlp",FALSE,0,NA,2017-11-13 14:03:34,FALSE,NA,"930073656608223232",NA,"<a href=""https://www.gremlinsocial.com"" rel=""nofollow"">Gremlin Social</a>","Shyam17",0,FALSE,FALSE,NA,NA
"57","#MotivationMonday: How one doc in #Brazil is making a difference on outcomes &amp; cost w/ #Cloud &amp; #Data, @DrConsulta:… https://t.co/ENNI3d4jen",FALSE,0,NA,2017-11-13 12:00:18,TRUE,NA,"930042637989662720",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","biotricity_inc",1,FALSE,FALSE,NA,NA
"63","Healthy? #BigData helps heal #HealthTech #HealthCare #data #digital #tech #health  https://t.co/p2vF4Wwtlz",FALSE,0,NA,2017-11-13 11:39:40,FALSE,NA,"930037445730725888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","detlistener",0,FALSE,FALSE,NA,NA
"64","#AI #ML #BigData #HPC #3dp #IoT #IIot #Bioinformatics t make #PrecisionMedicine affordable...… https://t.co/o9Iu8hXWLA",FALSE,0,NA,2017-11-13 11:36:19,TRUE,NA,"930036599806681088",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","eSURETY",1,FALSE,FALSE,NA,NA
"70","Did you know that #healthcare organisations that use #DataAnalytics have a significant competitive advantage? https://t.co/K1QyVAc11b",FALSE,0,NA,2017-11-13 11:00:00,FALSE,NA,"930027459776524292",NA,"<a href=""http://expion.com"" rel=""nofollow"">ExpionDev</a>","Qlik_UK",0,FALSE,FALSE,NA,NA
"71","The end-to-end Digital Economy across the world |  : Innovations in Big Data Analytics for Healthcare https://t.co/YLjxkRxI10",FALSE,0,NA,2017-11-13 10:51:35,FALSE,NA,"930025344769363968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","connectikpeople",0,FALSE,FALSE,NA,NA
"74","Madrid 1, 2 y 3 de diciembre - ""Clinical Care Datathon"" - Advancing Knowledge from Big Data in Healthcare https://t.co/BQKns9qBwN …",FALSE,0,NA,2017-11-13 09:04:11,FALSE,NA,"929998314858303488",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","City_Sostenible",0,FALSE,FALSE,NA,NA
"90","Madrid 1, 2 y 3 de diciembre - ""Clinical Care Datathon"" - Advancing Knowledge from Big Data in Healthcare https://t.co/hhu6SAnLG4",FALSE,4,NA,2017-11-13 08:30:14,FALSE,NA,"929989772638146561",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Itemas",2,FALSE,FALSE,NA,NA
"93","Its more than just financial improvements, it extends to saving lives. A good Monday morning start
#level39… https://t.co/bFfWc52oyD",FALSE,4,NA,2017-11-13 08:06:01,TRUE,NA,"929983676988973057",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","DraperDash",1,FALSE,FALSE,NA,NA
"94","Top story: Pattern Recognition and 'Batman' Play a Key Role in the Future of … https://t.co/iF7ghRR3uH, see more https://t.co/LkcXnq0UME",FALSE,0,NA,2017-11-13 07:32:55,FALSE,NA,"929975346962845696",NA,"<a href=""http://pikesley.org"" rel=""nofollow"">SamReadWriteBot</a>","BigDataBatman",0,FALSE,FALSE,NA,NA
"99","Data Modeler with Big Data (Healthcare / Pharma)
#bigdata #CapricornSystems #Inc #Somerville  # 
More<U+27A3> https://t.co/6Vs07aHM6B",FALSE,0,NA,2017-11-13 06:53:05,FALSE,NA,"929965324467888128",NA,"<a href=""http://floridarussian.com"" rel=""nofollow"">Site Tweet FR</a>","floridarussian",0,FALSE,FALSE,NA,NA
"100","How are #AI and #BigData impacting #healthcare? @NoomanHaque from @SVB_UK explains https://t.co/S095r3mXNL",FALSE,0,NA,2017-11-13 06:50:02,FALSE,NA,"929964556037869568",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","TechNative",13,FALSE,FALSE,NA,NA
"102","Top story: Pattern Recognition and 'Big Data' Play a Key Role in the Future of … https://t.co/3iKPmkElFY, see more https://t.co/mKIPyy0Y70",FALSE,0,NA,2017-11-13 06:23:09,FALSE,NA,"929957789644083201",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","CloudResDFW",0,FALSE,FALSE,NA,NA
"107","Big #data #analytics for #healthcare improves #patient #care, #operations https://t.co/bC0rWdxagr",FALSE,0,NA,2017-11-13 05:00:17,FALSE,NA,"929936936634118145",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AdvancedCareIO",1,FALSE,FALSE,NA,NA
"113","Ok, @DocForeman: How did this conversation about financial digital signals and #suicide start? And who's big idea w… https://t.co/J8LUfMHJxt",FALSE,4,NA,2017-11-13 03:05:04,TRUE,NA,"929907940416540673",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SPSMChat",20,FALSE,FALSE,NA,NA
"114","“Basic Science” of Healthcare Big Data Analytics Still Needs Work
https://t.co/kWdpFy11qc",FALSE,2,NA,2017-11-13 01:31:30,FALSE,NA,"929884394545754112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marketequations",0,FALSE,FALSE,NA,NA
"117","How is #healthcare being transformed through #bigdata? @HITOutcomes, #MapR's @caroljmcdonald has the story &gt;… https://t.co/WekkMG0tDY",FALSE,4,NA,2017-11-13 00:00:34,TRUE,NA,"929861510079352832",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","mapr",4,FALSE,FALSE,NA,NA
"120","#BigData will play a key role in the future of health care. Here’s how:  https://t.co/WmoC16mX66 https://t.co/hp3ok6WXDd",FALSE,10,NA,2017-11-12 21:45:03,FALSE,NA,"929827406927552512",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ThisisStats",7,FALSE,FALSE,NA,NA
"122","Reduce cost and improve the quality of #healthcare with #BigData and #AI. Catch our latest #webinar to learn more. https://t.co/BFNkMTuktU",FALSE,2,NA,2017-11-12 21:30:04,FALSE,NA,"929823636625805314",NA,"<a href=""https://manage.involver.com"" rel=""nofollow"">Oracle Engage</a>","RCNBusiness",0,FALSE,FALSE,NA,NA
"123","Here Is Why Big Data and Healthcare Is A Powerful Combination https://t.co/HMKQc2u7Yp https://t.co/XIVdPQGHmk",FALSE,0,NA,2017-11-12 20:34:07,FALSE,NA,"929809553545420800",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","SkejulME",0,FALSE,FALSE,NA,NA
"125","“Basic Science” of Healthcare Big Data Analytics Still Needs Work https://t.co/HYrFIoOJoM",FALSE,1,NA,2017-11-12 18:46:11,FALSE,NA,"929782392973295616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TWTDigiHealth",0,FALSE,FALSE,NA,NA
"126","Big Data analytics in Health. Which areas will be 1st to show value. Healthcare Financial Analytics, Business Intel… https://t.co/URKEDVpdPv",FALSE,0,NA,2017-11-12 18:23:01,TRUE,NA,"929776563180179457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4urology",2,FALSE,FALSE,NA,NA
"127","Catching up on Big Data &amp; Healthcare #predictiveanalytics https://t.co/A2jwHpqqCf",FALSE,2,NA,2017-11-12 18:05:24,FALSE,NA,"929772129301778433",NA,"<a href=""https://platform.gotchahosting.com"" rel=""nofollow"">gotcha!Stream</a>","grjenkin",0,FALSE,FALSE,NA,NA
"132","4 Ways Big Data Is Changing Healthcare  https://t.co/iHB2xhJg54 by @iegroup #BigData #Healthcare #eHealth #eSanté",FALSE,0,NA,2017-11-12 17:03:10,FALSE,NA,"929756468198461442",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","InterSystems_FR",6,FALSE,FALSE,NA,NA
"133","Catching up on Big Data &amp; Healthcare https://t.co/Pxm0e9Lyez https://t.co/b2SZ4oxMCw",FALSE,0,NA,2017-11-12 17:01:14,FALSE,NA,"929755981831180289",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","granvilleDSC",0,FALSE,FALSE,NA,NA
"134","“Basic Science” of Healthcare Big Data Analytics Still Needs Work https://t.co/GV5Yreihwk https://t.co/ZkkICoaJNF",FALSE,0,NA,2017-11-12 17:01:00,FALSE,NA,"929755922481795072",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","datahealth",0,FALSE,FALSE,NA,NA
"135","“Basic Science” of Healthcare Big Data Analytics Still Needs Work https://t.co/GV5Yreihwk",FALSE,0,NA,2017-11-12 17:00:25,FALSE,NA,"929755775613980674",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","datahealth",0,FALSE,FALSE,NA,NA
"136","Healthcare is usually slow to digitally innovate because of HIPAA. Yet, these 5 companies make big data work!… https://t.co/GsN47JjNBI",FALSE,1,NA,2017-11-12 16:46:06,TRUE,NA,"929752171704410112",NA,"<a href=""http://www.everyonesocial.com"" rel=""nofollow"">EveryoneSocial</a>","katherineaberry",0,FALSE,FALSE,NA,NA
"137","Big Data, AI Rapidly Transforming the CIO Role in Healthcare: @HITAnalytics https://t.co/oQBvk8uPd9 https://t.co/afQX8PZWa1",FALSE,0,NA,2017-11-12 16:25:47,FALSE,NA,"929747058256355328",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","BillSchomaker",0,FALSE,FALSE,NA,NA
"139","How Big #Data analytics touches everything from healthcare to how you get a loan @tech2eets https://t.co/ye4yPtvbXZ",FALSE,2,NA,2017-11-12 16:00:52,FALSE,NA,"929740787079884801",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","razkarmi",0,FALSE,FALSE,NA,NA
"140","Healthcare Financial Analytics, Business Intelligence Market Takes Off  Leveraging innovative big data analytics str…https://t.co/XHjNuEI2mm",FALSE,0,NA,2017-11-12 14:35:35,FALSE,NA,"929719327619801094",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","PhilHoltzman",0,FALSE,FALSE,NA,NA
"141","#Cybersecurity Challenges Faced by #Healthcare #Industry
https://t.co/ZT4HdEYSRQ
 #tech #ml #ai #bigdata #medicine… https://t.co/jb3a9OPLuM",FALSE,0,NA,2017-11-12 14:31:20,TRUE,NA,"929718255710765056",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","GeberConsulting",0,FALSE,FALSE,NA,NA
"142","Fortunately, a Healthcare Business is interested as Big Data Applications.",FALSE,0,NA,2017-11-12 14:07:18,FALSE,NA,"929712208749019139",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","nagayama0706",0,FALSE,FALSE,NA,NA
"143","Pharma turns 2 big data 2 gauge care and pricing. #Pharmaceuticals,#Healthcare,#BigData,#Medicare,#MedicalResearch. https://t.co/Q53fIMdFlp",FALSE,0,NA,2017-11-12 14:03:16,FALSE,NA,"929711193719058432",NA,"<a href=""https://www.gremlinsocial.com"" rel=""nofollow"">Gremlin Social</a>","Shyam17",0,FALSE,FALSE,NA,NA
"144","The 430M strong #InternetofThings keeps growing leaving #HC with a flood of valuable #BigData @HITAnalytics #IoT… https://t.co/ENNzLqPxQY",FALSE,0,NA,2017-11-12 14:01:07,TRUE,NA,"929710652150644736",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","missyscheng",0,FALSE,FALSE,NA,NA
"145","How Big #Data analytics touches everything from healthcare to how you get a loan @tech2eets https://t.co/5J9co4f2h1",FALSE,0,NA,2017-11-12 14:00:07,FALSE,NA,"929710401780101121",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","CyberHoodWatch",0,FALSE,FALSE,NA,NA
"146","How big data is disrupting healthcare and life sciences https://t.co/6ryrsXxGIw",FALSE,0,NA,2017-11-12 14:00:01,FALSE,NA,"929710375406202885",NA,"<a href=""https://drumup.io"" rel=""nofollow"">drumup.io</a>","IPMAsolutions",0,FALSE,FALSE,NA,NA
"158","How big data is disrupting healthcare and life sciences https://t.co/z7vcFHHCud (via juice.li) https://t.co/t2CgK8sfra",FALSE,0,NA,2017-11-12 13:35:03,FALSE,NA,"929704093316239365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceosoriomx",0,FALSE,FALSE,NA,NA
"160","Ten Major Challenges of Big Data Analytics in the Healthcare Industry of Today - by @HectorWachter https://t.co/03QnJHq25x #BigData",FALSE,0,NA,2017-11-12 10:37:02,FALSE,NA,"929659293032382464",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","VanRijmenam",0,FALSE,FALSE,NA,NA
"161","Ten Major Challenges of Big Data Analytics in the Healthcare Industry of Today - by @HectorWachter https://t.co/IytbZf6GIU #BigData",FALSE,0,NA,2017-11-12 10:37:01,FALSE,NA,"929659291421827074",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Datafloq",0,FALSE,FALSE,NA,NA
"162","5 companies using big data to disrupt healthcare https://t.co/U8e858p5Kw via @CIOonline",FALSE,0,NA,2017-11-12 09:47:25,FALSE,NA,"929646807751233536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FernandaKellner",0,FALSE,FALSE,NA,NA
"167","#AI #ML #BigData #HPC #3dp #IoT #IIot #Bioinformatics t make #PrecisionMedicine affordable...… https://t.co/cbPlfV20kz",FALSE,1,NA,2017-11-12 06:56:14,TRUE,NA,"929603728545665024",NA,"<a href=""http://convey.pro"" rel=""nofollow"">Convey: Make it post for you</a>","LynxPro_UK",4,FALSE,FALSE,NA,NA
"170","QY7R-VFD6: How Big Data Is Changing Healthcare https://t.co/35T5RuHMRW",FALSE,0,NA,2017-11-12 06:38:03,FALSE,NA,"929599150626242566",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","kaytics",0,FALSE,FALSE,NA,NA
"175","How Big #Data analytics touches everything from healthcare to how you get a loan @tech2eets https://t.co/EfZsv2BuPB",FALSE,0,NA,2017-11-12 05:44:00,FALSE,NA,"929585548079091712",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","100sOfCustomers",0,FALSE,FALSE,NA,NA
"180","Interesting list of 2018 healthcare innovations...thinking big data will uncover more https://t.co/Tma1lq4K8Y",FALSE,0,NA,2017-11-12 02:28:48,FALSE,NA,"929536424910688257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erik_e_abel",0,FALSE,FALSE,NA,NA
"185","@E_Jannusch The #SofterSide of Robots
https://t.co/NcJnLuA9gA",FALSE,0,"E_Jannusch",2017-11-12 01:44:27,FALSE,NA,"929525263637078016","129783921","<a href=""https://www.primal.com"" rel=""nofollow"">Primal for Twitter</a>","AccessAiNews",1,FALSE,FALSE,NA,NA
"187","1st Big Data Machine Learning in Healthcare in Japan | Institute of Global Affairs | Tokyo Medical... https://t.co/PhM43jIt42 #ai #ml #dl",FALSE,1,NA,2017-11-12 00:35:21,FALSE,NA,"929507873872318464",NA,"<a href=""http://www.tweetGoogleAlerts.com"" rel=""nofollow"">SendAlertsToTwitter</a>","AINewsFeed",0,FALSE,FALSE,NA,NA
"188","How Big #Data analytics touches everything from healthcare to how you get a loan @tech2eets https://t.co/EsXm1X8AQy",FALSE,0,NA,2017-11-12 00:11:05,FALSE,NA,"929501766470815744",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","CraigPateman",0,FALSE,FALSE,NA,NA
"189","RT analyticbridge: Data Science projects billed $300/hour on Kaggle https://t.co/aKUsUwOV9f",FALSE,1,NA,2017-11-12 00:10:19,FALSE,NA,"929501576540164104",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","BigData_Themen",0,FALSE,FALSE,NA,NA
"191","https://t.co/h6kvpdVf9T Data Science projects billed $300/hour on Kaggle https://t.co/zcOQBAyT1R #infonomics https://t.co/mOebAzmlmQ",FALSE,0,NA,2017-11-12 00:05:08,FALSE,NA,"929500269141942272",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","InfonomicsToday",1,FALSE,FALSE,NA,NA
"192","Data Science projects billed $300/hour on Kaggle https://t.co/7iv1EmVyLM",FALSE,5,NA,2017-11-12 00:01:45,FALSE,NA,"929499420193894401",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","analyticbridge",4,FALSE,FALSE,NA,NA
"194","<U+0645><U+0642><U+0627><U+0644> <U+064A><U+064F><U+0633><U+0644><U+0637> <U+0641><U+064A><U+0647> <U+0643><U+0627><U+062A><U+0628><U+0647> <U+0627><U+0644><U+0636><U+0648><U+0621> <U+0639><U+0644><U+0649> <U+0623><U+0628><U+0631><U+0632> <U+0627><U+0644><U+062A><U+062D><U+062F><U+064A><U+0627><U+062A> <U+0627><U+0644><U+062A><U+064A> <U+062A><U+0648><U+0627><U+062C><U+0647><U+0647><U+0627> <U+062A><U+0637><U+0628><U+064A><U+0642> <U+062A><U+062D><U+0644><U+064A><U+0644> <U+0627><U+0644><U+0628><U+064A><U+0627><U+0646><U+0627><U+062A> <U+0627><U+0644><U+0636><U+062E><U+0645><U+0629> (Big Data Analytics) <U+0641><U+064A> <U+0627><U+0644><U+0642><U+0637><U+0627>… https://t.co/D5848UEHC5",FALSE,12,"Dr_Hmood",2017-11-11 22:53:58,TRUE,"925914709643202561","929482359493283840","251749711","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr_Hmood",3,FALSE,FALSE,NA,NA
"195","Ten Major Challenges of Big Data Analytics in the Healthcare Industry of Today - by @HectorWachter https://t.co/03QnJHq25x #BigData",FALSE,1,NA,2017-11-11 22:37:00,FALSE,NA,"929478090585190408",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","VanRijmenam",0,FALSE,FALSE,NA,NA
"196","Ten Major Challenges of Big Data Analytics in the Healthcare Industry of Today - by @HectorWachter https://t.co/IytbZf6GIU #BigData",FALSE,0,NA,2017-11-11 22:36:59,FALSE,NA,"929478088844566528",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Datafloq",0,FALSE,FALSE,NA,NA
"197","A #framework for secure #healthcare #systems based on big #data #analytics in #mobile cloud #computing environments https://t.co/Pxknjms9Ev",FALSE,0,NA,2017-11-11 22:30:15,FALSE,NA,"929476392680611841",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AdvancedCareIO",0,FALSE,FALSE,NA,NA
"198","Two Sides of #BigData #Doppelgangers -- Figuring Out What We Might Buy &amp; Personalizing #Healthcare @SethS_D… https://t.co/ZBLX6o43B6",FALSE,0,NA,2017-11-11 20:06:05,TRUE,NA,"929440111535804417",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","GAllenTC",0,FALSE,FALSE,NA,NA
